Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Playing in the Updraft","The Raven > Staunton State Park > South Platte > Colorado",https://www.mountainproject.com/route/113567839/playing-in-the-updraft,2.9,-1,Sport,5.9-,2,,39.50262,-105.36836
"Super Soul Slab","Lower Tier (Left Side) > Lower Tier > Frustration Creek > Highway 38 Crags > San Bernardino Mountains > California",https://www.mountainproject.com/route/108024059/super-soul-slab,2.6,-1,Sport,5.8,3,210,34.10202,-116.96535
"Charity Toad","Main Cliff Right > *Rumney > New Hampshire",https://www.mountainproject.com/route/106018140/charity-toad,2.8,-1,Sport,5.9,3,180,43.8027,-71.83554
"Sully's Route","Main Crag > Allenspur > Paradise Valley > Southwest Region > Montana",https://www.mountainproject.com/route/106445447/sullys-route,3.3,-1,Sport,5.10a,2,90,45.5961,-110.5598
"Living Blindly","Tail and Opossum > (x) The Marsupials > Smith Rock > Central Oregon > Oregon",https://www.mountainproject.com/route/106775995/living-blindly,2.7,-1,Sport,5.7,3,250,44.36809,-121.12388
Prescience,"Prophesy Wall > Saint George > Utah",https://www.mountainproject.com/route/106946604/prescience,2.9,-1,Sport,5.10a,2,200,37.2939,-113.6932
"Memorial Route (aka Caudill Queen King Route *original name*)","Slick Rock > McCall Area > West Idaho > Idaho",https://www.mountainproject.com/route/106018806/memorial-route-aka-caudill-queen-king-route-original-name,3.0,-1,Sport,5.8+,9,1000,44.95018,-115.94934
"The Relish Route","AMO Wall > Shannon Falls > Squamish > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/108503837/the-relish-route,2.4,-1,Sport,5.8,3,236,49.67268,-123.1567
"Caging the Zealot","Prophesy Wall > Saint George > Utah",https://www.mountainproject.com/route/106065711/caging-the-zealot,2.6,-1,Sport,5.10a,2,200,37.2939,-113.6932
"Voie Frison-Roche","Le Brévent > Aiguilles Rouges > Chamonix Mont Blanc > Northern Alps > France > Europe > International",https://www.mountainproject.com/route/107704336/voie-frison-roche,3.5,-1,Sport,5.10a,6,650,45.93357,6.83771
"Daddy Long Legs","Great White Icicle Area > Little Cottonwood Canyon > Wasatch Range > Utah",https://www.mountainproject.com/route/105741470/daddy-long-legs,2.7,-1,"Trad, TR",5.9,2,160,40.56883,-111.74168
"Emil and the Detectives","Conroy's Castle > Chek > Sea to Sky (Squamish to Whistler) > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/105962588/emil-and-the-detectives,2.5,-1,Sport,5.8,2,130,49.90989,-123.15665
"Dancing With Feral Debutantes","Bad Bananas > Rock Canyon > Wasatch Range > Utah",https://www.mountainproject.com/route/106307318/dancing-with-feral-debutantes,2.9,-1,Sport,5.10a,3,315,40.2666,-111.6263
"Ame's Way","Pipeline Wall > Telluride/Norwood area > Colorado",https://www.mountainproject.com/route/105983471/ames-way,2.7,-1,Sport,5.7,3,270,37.92354,-107.76635
"Free to Choose","Right Side Gully > The Fortress > Hwy 33/Ojai > Central Coast > California",https://www.mountainproject.com/route/105892656/free-to-choose,2.4,-1,Sport,5.9-,2,180,34.58355,-119.26301
S-Wall,"Snakes Head / S Wall > Quartz Mountain > Oklahoma",https://www.mountainproject.com/route/105887609/s-wall,3.8,-1,Sport,"5.9 R",2,220,34.89826,-99.3335
"Jungle Boy","La Selva (Jungle Wall) > El Potrero Chico > Nuevo Leon > Northern Mexico > Mexico > North America > International",https://www.mountainproject.com/route/105920222/jungle-boy,2.5,-1,Sport,5.9+,2,200,25.94838,-100.47698
"North By Northwest","Stone Depot > 1. Southern Mountains Region > North Carolina",https://www.mountainproject.com/route/107189454/north-by-northwest,2.6,-1,Sport,5.7,5,480,35.2591,-82.8004
"Coo Coo Cachoo","Bracksiek's Pillar > South Hills > Castle Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/106718260/coo-coo-cachoo,3.3,-1,Sport,5.8+,2,180,42.13496,-113.67163
"Divided Sky","Meyers Multipitch > Meyers Area > South Shore > Lake Tahoe > California",https://www.mountainproject.com/route/113186148/divided-sky,2.7,-1,Sport,5.7,4,400,38.84175,-120.04551
"Retable Route","Inner Outlet > Outlets > Sylvan Lake > Custer State Park > South Dakota",https://www.mountainproject.com/route/107780458/retable-route,3.3,-1,"Trad, Sport",5.7,3,300,43.84769,-103.56814
"Exum Arete","(b) Central Sector > Rock Springs Buttress > Jackson Hole > Wyoming",https://www.mountainproject.com/route/105834006/exum-arete,3.3,-1,"Trad, Sport, Alpine",5.10a,4,400,43.58617,-110.86846
"Exit Wound","Haji Rock > Right Fork > Maple Canyon > Utah",https://www.mountainproject.com/route/106187204/exit-wound,3.2,-1,Sport,5.9+,3,160,39.5662,-111.6961
"Rogaine with Minoxidil","Old Baldy > Mount Baldy > Mount Rushmore National Memorial > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/106476086/rogaine-with-minoxidil,3.1,-1,"Trad, Sport",5.8,2,300,43.8911,-103.4565
"Playin' Possum","Clem's Holler > Clem's Holler Area > Tumwater Canyon > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/105794282/playin-possum,2.5,-1,"Trad, Sport",5.10a,3,240,47.58978,-120.68839
"Vérités dérangeantes","Tranchant - Left > Montagne du Tranchant > Lanaudiere > Quebec > Canada > North America > International",https://www.mountainproject.com/route/107336922/verites-derangeantes,3.9,-1,Sport,5.10a,2,138,46.292,-73.8529
"Needle & Spoon","Pywiak Dome > Pywiack Area > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/105866062/needle-spoon,3.1,-1,Sport,"5.10a PG13",4,,37.8453,-119.444
"Bombay Groove aka Yankee Go Home","Stone Mountain South Face > Stone Mountain > 3. Piedmont Region > North Carolina",https://www.mountainproject.com/route/107666720/bombay-groove-aka-yankee-go-home,3.9,-1,Sport,"5.10a PG13",2,280,36.3916,-81.0473
"Camel Toe","McGregor Slab > Fall River Road (US 34 West) > Estes Park Valley > Colorado",https://www.mountainproject.com/route/105956634/camel-toe,3.0,-1,"Trad, Sport",5.9+,6,940,40.40851,-105.5854
"Buffalo Brothers","Blue Sky Wall > The Wedge > El Cajon Mountain > South San Diego County > San Diego County > California",https://www.mountainproject.com/route/106285424/buffalo-brothers,2.5,-1,Sport,5.8-,2,180,32.90468,-116.8186
"The Good, The Bad and The Ugly","Gunnison Mountain Park Picnic Area > Taylor Canyon > Gunnison > Colorado",https://www.mountainproject.com/route/107177626/the-good-the-bad-and-the-ugly,3.5,-1,Sport,5.10-,3,235,38.72652,-106.76942
"Town Dogs and Coyotes","Riding Hood Wall > 01-Calico Basin > Red Rock > Southern Nevada > Nevada",https://www.mountainproject.com/route/116490330/town-dogs-and-coyotes,2.3,-1,Sport,5.9+,2,245,36.14947,-115.42673
"Filo Noroccidental","West Face > Peña de Bernal > Queretaro > Central Mexico > Mexico > North America > International",https://www.mountainproject.com/route/112483686/filo-noroccidental,3.8,-1,Sport,5.10a,7,1150,20.74946,-99.94683
"The Dizzy Channel","Dizzy Rock > Maple Canyon Road > Maple Canyon > Utah",https://www.mountainproject.com/route/107581826/the-dizzy-channel,3.2,-1,Sport,5.8-,4,270,39.556,-111.6875
"I'll Tell You What's Cool","What's Cool Area > Lower Canyon Granite > Cody > Wyoming",https://www.mountainproject.com/route/111443148/ill-tell-you-whats-cool,3.9,-1,Sport,5.8,7,500,44.50456,-109.17743
"Taste of Honey","Forbidden Comb > The Honeycombs > Southwest Oregon > Oregon",https://www.mountainproject.com/route/114447913/taste-of-honey,3.7,-1,Sport,5.9,4,230,43.32723,-122.95992
"Dome Driver","Cheap Wine Wall > Main Dome > Enchanted Rock State Natural Area > Texas",https://www.mountainproject.com/route/107201900/dome-driver,3.0,-1,Sport,5.8,3,,30.5082,-98.81924
"Harsh Reality","Prophesy Wall > Saint George > Utah",https://www.mountainproject.com/route/106065730/harsh-reality,2.4,-1,Sport,5.9,2,190,37.2939,-113.6932
Fantastic,"Stone Mountain South Face > Stone Mountain > 3. Piedmont Region > North Carolina",https://www.mountainproject.com/route/107666745/fantastic,3.8,-1,"Trad, Sport","5.9+ PG13",4,470,36.3916,-81.0473
"Right of Passage","South Face of Arthur's Rock > Arthur's Rock > Lory State Park > Fort Collins > Colorado",https://www.mountainproject.com/route/108010166/right-of-passage,2.8,-1,"Trad, Sport",5.9,2,160,40.5669,-105.1872
"Achilles Spire","Mount Hector and Mount Andromache > Icefields Parkway > Alberta > Canada > North America > International",https://www.mountainproject.com/route/112143604/achilles-spire,3.7,-1,"Sport, Alpine",5.8,13,1000,51.6109,-116.29464
"Mercury's Lead","Stone Mountain South Face > Stone Mountain > 3. Piedmont Region > North Carolina",https://www.mountainproject.com/route/106092200/mercurys-lead,3.2,-1,"Trad, Sport","5.9 R",2,300,36.3916,-81.0473
"South Tower Conn Route","Spire Four > Cathedral Spires > Custer State Park > South Dakota",https://www.mountainproject.com/route/105715661/south-tower-conn-route,3.7,-1,"Trad, Sport",5.9,2,,43.84908,-103.53358
"Piece Out","Potter Mountain Cliff > Silver Lake > K: Northern Region > Adirondacks > New York",https://www.mountainproject.com/route/108373424/piece-out,3.4,-1,Sport,5.9+,2,170,44.5173,-73.7984
"Beginner's Delight","Main Wall > Tollhouse Rock > Southern Sierra > California",https://www.mountainproject.com/route/108373980/beginners-delight,3.3,-1,"Trad, Sport",5.8,4,,37.02938,-119.38526
"The Undertaker","The Graveyard > Clear Creek Canyon > Golden > Colorado",https://www.mountainproject.com/route/114036204/the-undertaker,2.3,-1,Sport,5.9+,2,130,39.74438,-105.40288
"Traumpfeiler (Pillar of Dreams)","Heiliger Geist > Meteora > Greece > Europe > International",https://www.mountainproject.com/route/106804391/traumpfeiler-pillar-of-dreams,3.7,-1,"Trad, Sport",5.9,9,850,39.7137,21.6261
"Heart of Gold","Duty Dome > Duty Dome - Warrior Wall - Peek-a-boo Area > Icicle Creek > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/105981652/heart-of-gold,2.5,-1,"Trad, Sport",5.10a,4,,47.54872,-120.74802
"Wake and Bake","Main Wall > Shelving Rock > F: Lake George Region > Adirondacks > New York",https://www.mountainproject.com/route/107884609/wake-and-bake,2.9,-1,Sport,5.10a/b,2,170,43.5605,-73.60366
"It Takes Two","Hostess Gully - West Corridor > Castle Rocks > Castle Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105841766/it-takes-two,2.5,-1,Sport,5.8,2,220,42.12433,-113.67199
"Pole Dancing Dragons","The Funny Farm > Atlantis > Queen Creek Canyon > Central Arizona > Arizona",https://www.mountainproject.com/route/116492650/pole-dancing-dragons,3.2,-1,Sport,5.8,2,200,33.30497,-111.07714
"Driver'sTest->Run for Cover","The Jobsite > Rock Canyon > Wasatch Range > Utah",https://www.mountainproject.com/route/106172045/driverstest-run-for-cover,2.4,-1,Sport,5.8,3,300,40.2665,-111.624
"What's New Pussycat?","Sand Dunes > Island In The Sky > Snow Canyon State Park > Saint George > Utah",https://www.mountainproject.com/route/106108969/whats-new-pussycat,2.8,-1,Sport,5.10a,2,160,37.19133,-113.64333
Bernalina,"South Face > Peña de Bernal > Queretaro > Central Mexico > Mexico > North America > International",https://www.mountainproject.com/route/106121304/bernalina,3.3,-1,Sport,5.8-,7,500,20.74833,-99.94637
"Cornsnake Crack","Table Rock > Linville Gorge > 2. Northern Mountains Region > North Carolina",https://www.mountainproject.com/route/106968764/cornsnake-crack,2.7,-1,"Trad, Sport",5.7+,2,,35.88831,-81.88519
"Frontside 180","Electric Avenue > Chek > Sea to Sky (Squamish to Whistler) > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/117387778/frontside-180,2.9,-1,Sport,5.7,10,720,49.90291,-123.16106
"Freezer Burn","Radio Head > Devil's Head > South Platte > Colorado",https://www.mountainproject.com/route/106901400/freezer-burn,3.0,-1,"Trad, Sport",5.10a,3,,39.26976,-105.11789
"Bunny Bucket Buttress","Pierce's Pass > Blue Mountains > Australia > International",https://www.mountainproject.com/route/107500597/bunny-bucket-buttress,3.9,-1,Sport,5.8,9,900,-33.5093,150.2655
"Magical Mystery Tour","West Face > Fairview Dome > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/106509913/magical-mystery-tour,3.3,-1,"Trad, Sport","5.8 R",3,500,37.87012,-119.40627
"The Morgul Vale","South East Face > Wolf Rock > Willamette Valley > Oregon",https://www.mountainproject.com/route/111750995/the-morgul-vale,3.1,-1,Sport,"5.9+ PG13",8,800,44.30132,-122.14792
"Dem Bones","Whale Dome > West Stronghold > Cochise Stronghold > Southern Arizona > Arizona",https://www.mountainproject.com/route/105738794/dem-bones,3.0,-1,"Trad, Sport","5.10- R",5,660,31.93969,-109.99315
"Thousand Pints of Lite","Sand Dunes > Island In The Sky > Snow Canyon State Park > Saint George > Utah",https://www.mountainproject.com/route/106749318/thousand-pints-of-lite,2.7,-1,Sport,5.7,3,180,37.19133,-113.64333
Gweilo,"Lion Rock > Hong Kong > China > Asia > International",https://www.mountainproject.com/route/108402651/gweilo,3.4,-1,Sport,5.10a,4,250,22.35192,114.18534
"Plutonian Shores","Raven Crag > Banff National Park > Alberta > Canada > North America > International",https://www.mountainproject.com/route/113313077/plutonian-shores,3.3,-1,Sport,5.9,7,600,51.16117,-115.58955
"Love Potion No. 9","The Sorcerer's Apprentice > The Needles > The Needles / Kern River > Southern Sierra > California",https://www.mountainproject.com/route/105834235/love-potion-no-9,3.5,-1,"Trad, Sport","5.10a PG13",2,,36.10673,-118.48166
"Capitalism & Freedom","Right Side Gully > The Fortress > Hwy 33/Ojai > Central Coast > California",https://www.mountainproject.com/route/105917860/capitalism-freedom,2.9,-1,Sport,5.10a/b,2,155,34.58355,-119.26301
"Wild Wild West","West Face > Pinto Rock > Southwest Cascades > Washington",https://www.mountainproject.com/route/110943576/wild-wild-west,3.3,-1,"Sport, Alpine",5.8,4,400,46.32448,-121.92476
"Spontaneous Order","Central Gully > The Fortress > Hwy 33/Ojai > Central Coast > California",https://www.mountainproject.com/route/106309840/spontaneous-order,2.6,-1,Sport,"5.9+ PG13",4,350,34.58355,-119.26301
Mosoraski,"North Face G1-16 > Anica kuk > National Park of Paklenica > Croatia > Europe > International",https://www.mountainproject.com/route/106762550/mosoraski,3.8,-1,Sport,5.10a,10,1000,44.30754,15.48398
"Milky Way","Pearly Gates > Snow Creek Area > Icicle Creek > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/105791931/milky-way,2.7,-1,Sport,5.10-,2,100,47.53632,-120.71457
Sacrilege,"Toxic Lichen > Chek > Sea to Sky (Squamish to Whistler) > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/109578862/sacrilege,3.0,-1,Sport,5.10a,3,240,49.9072,-123.156
Tethys,"Pangea Wall (or Pangaea Wall) > Texas Canyon > Angeles National Forest > Los Angeles Basin > California",https://www.mountainproject.com/route/106644613/tethys,2.4,-1,Sport,5.7,2,200,34.51353,-118.40147
"Family Picnic","B. Middle Cliff Routes > The Main Cliff > Bone Mountain > Bolton Area > Vermont",https://www.mountainproject.com/route/107302807/family-picnic,3.6,-1,Sport,"5.7 PG13",2,150,44.38995,-72.84965
"Beautiful Century","Nanny Goat > Bow Valley > Alberta > Canada > North America > International",https://www.mountainproject.com/route/110913809/beautiful-century,3.0,-1,Sport,5.10a,7,750,51.09308,-115.13463
"Dags in Beanland","Cedar Park Slab > Big Thompson Canyon > Estes Park Valley > Colorado",https://www.mountainproject.com/route/105750484/dags-in-beanland,2.9,-1,"Trad, Sport",5.8,4,,40.46754,-105.33252
"Storm in a Teacup","Stone Mountain South Face > Stone Mountain > 3. Piedmont Region > North Carolina",https://www.mountainproject.com/route/107954260/storm-in-a-teacup,3.4,-1,Sport,"5.10a PG13",3,300,36.3916,-81.0473
"West Face","The Rock of Ages > Pine Canyon > Mount Diablo State Park > San Francisco Bay Area > California",https://www.mountainproject.com/route/105872209/west-face,2.6,-1,Sport,5.8+,2,150,37.88057,-121.98549
"Eagle's Dare","Acker Rock > Southwest Oregon > Oregon",https://www.mountainproject.com/route/113728534/eagles-dare,3.9,-1,Sport,"5.9+ PG13",8,710,43.05188,-122.64633
"Fool's Gold","Helen's Dome > Goose Creek/Molly Gulch Campground > South Platte > Colorado",https://www.mountainproject.com/route/105750802/fools-gold,3.5,-1,"Trad, Sport",5.9+,2,,39.18868,-105.33495
"De toute beauté  aka ""La toute boltée""","Gros Bonnet > Quebec City, Charlevoix, Portneuf > Quebec > Canada > North America > International",https://www.mountainproject.com/route/109293106/de-toute-beaute-aka-la-toute-boltee,4.0,-1,Sport,"5.10a PG13",5,460,47.12642,-71.87636
"Hardrock Miner","Eureka Pillar > Eureka area > Silverton area > Colorado",https://www.mountainproject.com/route/106450177/hardrock-miner,2.6,-1,Sport,5.7,5,600,37.87688,-107.56991
Inconceivable,"Cliffs of Insanity > Box Canyon West > New Jack City > High Desert > California",https://www.mountainproject.com/route/111679054/inconceivable,2.7,-1,Sport,5.8+,2,120,34.6638,-116.97777
Trinacious,"Stone Depot > 1. Southern Mountains Region > North Carolina",https://www.mountainproject.com/route/109131619/trinacious,2.6,-1,Sport,5.7,4,270,35.2591,-82.8004
"Chamine Stop","Pao de Acucar (Sugarloaf) > Urca (Pao de Acucar area) > Rio de Janeiro > Brazil > South America > International",https://www.mountainproject.com/route/107546308/chamine-stop,4.0,-1,"Trad, Sport","5.7 R",7,750,-22.9499,-43.1591
"Eye of the Needle","Eye of the Needle Wall > Marjum Canyon > House Range > West Desert > Utah",https://www.mountainproject.com/route/107445729/eye-of-the-needle,3.4,-1,Sport,5.10a,3,200,39.2442,-113.4052
"Anasazi Arete (Pete Hubbel Memorial)","Land that Time Forgot > Sheeprock > Goose Creek/Molly Gulch Campground > South Platte > Colorado",https://www.mountainproject.com/route/114471195/anasazi-arete-pete-hubbel-memorial,3.8,-1,Sport,5.10a/b,2,225,39.19,-105.33063
"NE Grat","Zervreilahorn > Switzerland > Europe > International",https://www.mountainproject.com/route/107402926/ne-grat,4.0,-1,"Trad, Sport",5.9,11,1150,46.5509,9.0621
