Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
Cross-trainer,"Checkerboard Wall > Dona Ana Mountains > Las Cruces Area Climbing > New Mexico",https://www.mountainproject.com/route/105800894/cross-trainer,2.4,-1,"Trad, Sport",5.7,4,600,32.4584,-106.7823
"Eye For an Eye","Lost Eye to the Moon > Cattle Pocket and Corridors Area > Alabama Hills > Lone Pine Area > Sierra Eastside > California",https://www.mountainproject.com/route/106810685/eye-for-an-eye,2.5,-1,Sport,5.7,2,130,36.6056,-118.12796
Chimera,"Gargoyle Wall > Camelback Mountain > **Phoenix Areas > Central Arizona > Arizona",https://www.mountainproject.com/route/107397849/chimera,3.2,-1,Sport,"5.9 PG13",2,230,33.5192,-111.9694
"Remote Control","The Headstone > Devil's Head > South Platte > Colorado",https://www.mountainproject.com/route/105749572/remote-control,2.9,-1,Sport,5.10a,2,,39.2575,-105.0991
"All that, Jazz","Black Wall (aka Happy Acres) > 01-Calico Basin > Red Rock > Southern Nevada > Nevada",https://www.mountainproject.com/route/105926130/all-that-jazz,2.6,-1,"Trad, Sport, TR",5.8,3,300,36.15028,-115.42842
"Brain Full of Spiders","Bad Bananas > Rock Canyon > Wasatch Range > Utah",https://www.mountainproject.com/route/106302604/brain-full-of-spiders,2.5,-1,Sport,5.9+,4,270,40.2666,-111.6263
"Spice Box","The Headwall > Camelback Mountain > **Phoenix Areas > Central Arizona > Arizona",https://www.mountainproject.com/route/105899908/spice-box,3.1,-1,Sport,5.10a/b,3,225,33.51992,-111.97037
"Straight Street","Off Duty Area > Duty Dome - Warrior Wall - Peek-a-boo Area > Icicle Creek > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/106008012/straight-street,3.1,-1,"Trad, Sport",5.9,2,175,47.54862,-120.74704
"Charlotte's Web","Conroy's Castle > Chek > Sea to Sky (Squamish to Whistler) > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/105960650/charlottes-web,2.5,-1,Sport,5.9,2,130,49.90989,-123.15665
"The Blacksmith","Los Lobos Wall > Los Lobos Canyon > El Potrero Chico > Nuevo Leon > Northern Mexico > Mexico > North America > International",https://www.mountainproject.com/route/108564748/the-blacksmith,2.5,-1,Sport,5.9,2,110,25.94968,-100.47518
Gratitude,"Sand Dunes > Island In The Sky > Snow Canyon State Park > Saint George > Utah",https://www.mountainproject.com/route/105718477/gratitude,2.8,-1,Sport,5.10-,4,350,37.19133,-113.64333
"Dry December","Pagoda Rock > Pine Canyon > Mount Diablo State Park > San Francisco Bay Area > California",https://www.mountainproject.com/route/105871934/dry-december,2.6,-1,"Trad, Sport",5.8+,2,150,37.88044,-121.98579
Hydrotube,"Hydrotube Area > Flagstone > Willamette Valley > Oregon",https://www.mountainproject.com/route/105796626/hydrotube,3.1,-1,Sport,5.9,2,100,43.9853,-122.2985
"Ravages Of Time","Mule Hollow Wall > Big Cottonwood Canyon > Wasatch Range > Utah",https://www.mountainproject.com/route/106172534/ravages-of-time,3.1,-1,Sport,5.9+,2,160,40.63207,-111.75115
"Elysian Fields","Blob's Your Uncle > The Valley of Zion > Stansbury Mountains > West Desert > Utah",https://www.mountainproject.com/route/108360588/elysian-fields,2.9,-1,Sport,5.9,4,300,40.7403,-112.6394
"Elation at the End of Eternity","Gun Show > Exit 38: Far Side > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/105798604/elation-at-the-end-of-eternity,2.7,-1,Sport,5.9+,2,200,47.42952,-121.62058
"Flappin' In the Breeze","Flapping.../Nuclear arms area > Rumbling Bald > 1. Southern Mountains Region > North Carolina",https://www.mountainproject.com/route/106587153/flappin-in-the-breeze,3.5,-1,"Trad, Sport",5.10a,3,300,35.449,-82.2143
