Route,URL,Avg_Stars,Pitches,Length_(feet),Length_(meters),Area_Latitude,Area_Longitude,Loc_1,Loc_2,Loc_3,Loc_4,Loc_5,Loc_6,Route_type1,Route_type2,Route_type3,Class,Protection_Rating,Aid_Grading
Voie Frison-Roche,https://www.mountainproject.com/route/107704336/voie-frison-roche,3.5,6,650,198,45.93357,6.83771,Le Brévent,Aiguilles Rouges,,France,Europe,International,Sport,,,5.10a,,
Dancing With Feral Debutantes,https://www.mountainproject.com/route/106307318/dancing-with-feral-debutantes,2.9,3,315,96,40.2666,-111.6263,Bad Bananas,Rock Canyon,Utah,USA,North America,Domestic,Sport,,,5.10a,,
S-Wall,https://www.mountainproject.com/route/105887609/s-wall,3.8,2,220,67,34.89826,-99.3335,Snakes Head / S Wall,Quartz Mountain,Oklahoma,USA,North America,Domestic,Sport,,,5.9,R,
Get a Job,https://www.mountainproject.com/route/113942007/get-a-job,3,2,125,38,-44.64704,168.96528,Diamond Lake,Wanaka,,New Zealand,Oceania,International,Sport,,,5.9+,,
Vérités dérangeantes,https://www.mountainproject.com/route/107336922/verites-derangeantes,3.9,2,138,42,46.292,-73.8529,Tranchant - Left,Montagne du Tranchant,,Canada,North America,International,Sport,,,5.10a,,
Filo Noroccidental,https://www.mountainproject.com/route/112483686/filo-noroccidental,3.8,7,1150,351,20.74946,-99.94683,West Face,Peña de Bernal,,Mexico,North America,International,Sport,,,5.10a,,
30,https://www.mountainproject.com/route/118035965/30,3.8,6,400,122,40.44548,-111.69298,The B-52 Wall,American Fork Canyon,Utah,USA,North America,Domestic,Sport,,,5.9,R,
What's New Pussycat?,https://www.mountainproject.com/route/106108969/whats-new-pussycat,2.8,2,160,49,37.19133,-113.64333,Sand Dunes,Island In The Sky,Utah,USA,North America,Domestic,Sport,,,5.10a,,
Crystal Wall Route,https://www.mountainproject.com/route/111951103/crystal-wall-route,4,2,300,91,38.8802,-120.2893,Crystal Wall Area,Slick Rock Dome,California,USA,North America,Domestic,Sport,,,5.9,R,
Gweilo,https://www.mountainproject.com/route/108402651/gweilo,3.4,4,250,76,22.35192,114.18534,Lion Rock,Hong Kong,,Hong Kong,Asia,International,Sport,,,5.10a,,
Mosoraski,https://www.mountainproject.com/route/106762550/mosoraski,3.8,10,1000,305,44.30754,15.48398,North Face G1-16,Anica kuk,,Croatia,Europe,International,Sport,,,5.10a,,
Sacrilege,https://www.mountainproject.com/route/109578862/sacrilege,3,3,240,73,49.9072,-123.156,Toxic Lichen,Chek,,Canada,North America,International,Sport,,,5.10a,,
Beautiful Century,https://www.mountainproject.com/route/110913809/beautiful-century,3,7,750,229,51.09308,-115.13463,Nanny Goat,Bow Valley,,Canada,North America,International,Sport,,,5.10a,,
Eye of the Needle,https://www.mountainproject.com/route/107445729/eye-of-the-needle,3.4,3,200,61,39.2442,-113.4052,Eye of the Needle Wall,Marjum Canyon,Utah,USA,North America,Domestic,Sport,,,5.10a,,
Dalles Grises,https://www.mountainproject.com/route/110612925/dalles-grises,3.7,6,500,152,43.7832,6.39108,Dalles Grises,Belvedere de la Carelle,,France,Europe,International,Sport,,,5.10a,,
Smoked Turkey,https://www.mountainproject.com/route/106186481/smoked-turkey,3.5,2,155,47,39.12459,-106.67171,Turkey Rock,Upper Boulderfield Area,Colorado,USA,North America,Domestic,Sport,,,5.10a,,
Thin As Ice,https://www.mountainproject.com/route/106807273/thin-as-ice,3.5,2,130,40,61.82995,-149.19048,SnowBird Slab/Cornerstone,Reed Lakes Bouldering and Climbing,Alaska,USA,North America,Domestic,Sport,,,5.10a,,
Magellan's Voyage (direct),https://www.mountainproject.com/route/111119322/magellans-voyage-direct,3.8,2,200,61,41.50877,-124.07899,High Bluffs,Redwood Coast,California,USA,North America,Domestic,Sport,,,5.10a,,
La Torre,https://www.mountainproject.com/route/107491120/la-torre,3.8,2,200,61,44.2143,8.3328,Settore della Torre,Monte Cucco,,Italy,Europe,International,Sport,,,5.10a,,
Serengeti,https://www.mountainproject.com/route/115341314/serengeti,4,8,820,250,47.32975,15.40211,Rote Wand,Grazer Bergland,,Austria,Europe,International,Sport,,,5.10a,,
Mangolyto 6a,https://www.mountainproject.com/route/107416012/mangolyto-6a,4,8,1000,305,46.6186,8.4619,Winterstock South face,Albert Heim,,Switzerland,Europe,International,Sport,,,5.10a,,
King Kong,https://www.mountainproject.com/route/116731936/king-kong,3.8,8,720,219,20.75197,-99.94939,Chichidho,Peña de Bernal,,Mexico,North America,International,Sport,,,5.10a,,
Jungle Boy,https://www.mountainproject.com/route/105920222/jungle-boy,2.5,2,200,61,25.94838,-100.47698,La Selva (Jungle Wall),El Potrero Chico,,Mexico,North America,International,Sport,,,5.9+,,
Mariangela,https://www.mountainproject.com/route/117797276/mariangela,4,5,375,114,44.195,8.30952,Settore Settentrionale,Rocca di Perti,,Italy,Europe,International,Sport,,,5.10a,,
Vecchie Beline,https://www.mountainproject.com/route/117765230/vecchie-beline,4,5,400,122,44.19553,8.3101,Versante Nord,Rocca di Perti,,Italy,Europe,International,Sport,,,5.10a,,
The Cave Route,https://www.mountainproject.com/route/117668650/the-cave-route,4,2,120,37,43.22272,-123.56263,Treasure Island,The Callahans,Oregon,USA,North America,Domestic,Sport,,,5.10a,,
Naebel und Chempae 6a,https://www.mountainproject.com/route/107417232/naebel-und-chempae-6a,4,12,1200,366,46.6827,8.1807,Engelhoerner,Switzerland,,Switzerland,Europe,International,Sport,,,5.10a,,
The Voyage,https://www.mountainproject.com/route/107744347/the-voyage,4,4,400,122,44.31472,5.69507,Quiquillon,Orpierre,,France,Europe,International,Sport,,,5.10a,,
Roberta Groba,https://www.mountainproject.com/route/111961494/roberta-groba,4,10,1500,457,-22.33888,-42.72446,Capacete,Salinas / Três Picos,,Brazil,South America,International,Sport,,,5.10a,,
Sergio Jacob,https://www.mountainproject.com/route/111961517/sergio-jacob,4,4,500,152,-22.33888,-42.72446,Capacete,Salinas / Três Picos,,Brazil,South America,International,Sport,,,5.10a,,
India,https://www.mountainproject.com/route/110732251/india,4,5,,,40.2821,9.6309,Main Sector,La Poltrona,,Italy,Europe,International,Sport,,,5.10a,,
Truckin',https://www.mountainproject.com/route/114446595/truckin,2.6,2,150,46,43.72106,-113.07745,07. American Beauty,Mortal Earth,Idaho,USA,North America,Domestic,Sport,,,5.7,,
Via Amici 6a,https://www.mountainproject.com/route/107158456/via-amici-6a,4,7,800,244,46.6196,8.4721,Lochberg,Albert Heim,,Switzerland,Europe,International,Sport,,,5.10a,,
La Gastronome,https://www.mountainproject.com/route/107747229/la-gastronome,4,4,200,61,45.92398,6.86993,Gastronome,Saint Julien,,France,Europe,International,Sport,,,5.10a,,
Triple Adu,https://www.mountainproject.com/route/118943870/triple-adu,4,3,500,152,37.33382,-119.39864,South Face,North Eagle Beak,California,USA,North America,Domestic,Sport,,,5.10a,,
Cerca del Paraiso (first pitch),https://www.mountainproject.com/route/109546132/cerca-del-paraiso-first-pitch,3.2,2,75,23,40.25149,-75.82395,i. Sun Wall (Long Slabs),Birdsboro Quarry,Pennsylvania,USA,North America,Domestic,Sport,,,5.10a,,
L'Arco dei Guaitechi,https://www.mountainproject.com/route/107545074/larco-dei-guaitechi,3.7,2,195,59,44.1973,8.3172,Settore Centrale,Monte Sordo,,Italy,Europe,International,Sport,,,5.10a,,
Via Dello Spigolo,https://www.mountainproject.com/route/112888751/via-dello-spigolo,3.8,5,350,107,41.21597,13.56986,Gaeta,Italy,,Italy,Europe,International,Sport,,,5.10a,,
Stone Free,https://www.mountainproject.com/route/115172420/stone-free,3.6,2,100,30,43.72236,-113.07814,11. Wonderwall,Mortal Earth,Idaho,USA,North America,Domestic,Sport,,,5.10a,,
Nobody's Darlings,https://www.mountainproject.com/route/106760597/nobodys-darlings,3.5,2,215,66,39.24648,-113.40296,Second Tier,Hermit Canyon,Utah,USA,North America,Domestic,Sport,,,5.10a,,
Send For The Man,https://www.mountainproject.com/route/106131396/send-for-the-man,2.6,2,140,43,40.267,-111.6246,AC/DC Wall,Rock Canyon,Utah,USA,North America,Domestic,Sport,,,5.10a,,
Dirty Pinkos,https://www.mountainproject.com/route/108347741/dirty-pinkos,3.4,4,,,44.3696,-121.13916,(u) Red Wall,Smith Rock,Oregon,USA,North America,Domestic,Sport,,,5.9+,,
Remains to be Seen,https://www.mountainproject.com/route/106947200/remains-to-be-seen,2.7,2,220,67,37.2939,-113.6932,Prophesy Wall,Saint George,Utah,USA,North America,Domestic,Sport,,,5.10a,,
Unknown,https://www.mountainproject.com/route/108957293/unknown,2.8,3,260,79,33.5192,-111.9694,Gargoyle Wall,Camelback Mountain,Arizona,USA,North America,Domestic,Sport,,,5.10a,,
"The Faster We Go, The Rounder We Get",https://www.mountainproject.com/route/106361256/the-faster-we-go-the-rounder-we-get,3.7,2,400,122,42.5291,-107.51412,The Moonstone,Sweetwater Rocks,Wyoming,USA,North America,Domestic,Sport,,,5.10a,,
Ayour du Todgha,https://www.mountainproject.com/route/118186558/ayour-du-todgha,3,4,550,168,31.58553,-5.59011,Les pieds dans l'eau,Todra Gorge,,Morocco,Africa,International,Sport,,,5.9+,,
Timón y Pumba,https://www.mountainproject.com/route/112243143/timon-y-pumba,3,2,,,25.94838,-100.47698,La Selva (Jungle Wall),El Potrero Chico,,Mexico,North America,International,Sport,,,5.10a,,
