Route,URL,Avg_Stars,Pitches,Length_(feet),Length_(meters),Area_Latitude,Area_Longitude,Loc_1,Loc_2,Loc_3,Loc_4,Loc_5,Loc_6,Route_type1,Route_type2,Route_type3,Class,Protection_Rating,Aid_Grading
Magic Carpet Ride,https://www.mountainproject.com/route/113558454/magic-carpet-ride,3.1,2,180,55,43.72124,-113.07766,08. Sea of Joy,Mortal Earth,Idaho,USA,North America,Domestic,Sport,,,5.10-,,
Thing Two,https://www.mountainproject.com/route/116118024/thing-two,3,2,100,30,35.23356,-111.60167,Tower Station,Upper Middle Elden Canyon,Arizona,USA,North America,Domestic,Sport,,,5.10-,,
Mark of the Beast,https://www.mountainproject.com/route/105860218/mark-of-the-beast,2.8,3,,,30.50849,-98.819,Devil's Slide,Main Dome,Texas,USA,North America,Domestic,Sport,,,5.8+,,
Out of the Blue,https://www.mountainproject.com/route/108198428/out-of-the-blue,2.3,2,160,49,39.74363,-105.406,Cats vs. Dogs Wall,Clear Creek Canyon,Colorado,USA,North America,Domestic,Sport,,,5.8+,,
Donamatrix,https://www.mountainproject.com/route/105805876/donamatrix,2.4,2,200,61,33.51992,-111.97037,The Headwall,Camelback Mountain,Arizona,USA,North America,Domestic,Sport,,,5.8+,,
Fire on the Horizon,https://www.mountainproject.com/route/117748152/fire-on-the-horizon,3,3,200,61,39.19,-105.33063,Land that Time Forgot,Sheeprock,Colorado,USA,North America,Domestic,Sport,,,5.10-,,
Chips,https://www.mountainproject.com/route/107643349/chips,2.4,3,200,61,45.4456,-111.231,The Prow,Stormcastle,Montana,USA,North America,Domestic,Sport,,,5.9+,,
Pirate Booty,https://www.mountainproject.com/route/118236549/pirate-booty,2.6,2,130,40,36.03458,-93.34433,Pirate's Cove,Steel Creek - Upper Buffalo River,Arkansas,USA,North America,Domestic,Sport,,,5.10-,,
Gentleman's Route,https://www.mountainproject.com/route/114528275/gentlemans-route,2.5,3,180,55,43.8027,-71.83554,Main Cliff Right,Rumney,New Hampshire,USA,North America,Domestic,Sport,,,5.7,,
Via Del Gran Camino,https://www.mountainproject.com/route/116814204/via-del-gran-camino,3,4,240,73,45.90917,9.41001,Scudi di Valgrande,Lecco,,Italy,Europe,International,Sport,,,5.10-,,
Rotta di Collisione,https://www.mountainproject.com/route/116814214/rotta-di-collisione,3,2,180,55,45.90917,9.41001,Scudi di Valgrande,Lecco,,Italy,Europe,International,Sport,,,5.10-,,
Zucchero,https://www.mountainproject.com/route/107498648/zucchero,4,2,110,34,44.0536,9.8284,Mandrachia Bassa,Mandrachia,,Italy,Europe,International,Sport,,,5.10a,,
